turns,white_rating,opening_moves,victory_status_cod,winner_cod,time_increment_cod,opening_shortname_cod,opening_variation_cod,rated_cod
33,1558,4,3,2,19,104,337,1
40,1904,4,1,0,253,109,385,0
61,1704,3,3,2,315,94,0,1
75,2043,4,3,2,104,32,612,1
53,2008,10,2,2,19,58,470,1
39,1770,5,1,2,19,90,386,1
21,1821,5,3,2,211,17,181,0
96,1878,7,3,0,19,110,561,1
29,1610,5,3,2,19,109,390,1
49,1538,3,1,2,19,122,612,1
19,2134,8,3,2,104,106,232,1
47,1598,5,3,2,203,109,371,1
51,1311,4,3,2,19,61,80,0
42,2018,4,3,0,361,33,274,0
61,1433,1,3,2,19,103,612,1
30,1318,10,3,0,19,52,569,1
55,1808,1,1,2,158,121,612,0
38,2020,6,3,0,19,26,612,1
27,1405,3,3,2,19,94,132,1
71,1958,2,0,1,248,50,612,1
114,1693,4,0,1,19,50,592,1
41,1500,5,3,2,19,74,263,0
77,1803,6,1,2,102,102,582,1
84,1530,3,3,0,19,38,277,1
48,1653,6,3,0,19,104,314,1
75,1559,2,2,2,19,28,612,0
25,1500,3,1,2,19,10,612,1
108,1720,4,1,0,19,61,330,1
94,1755,5,1,0,19,52,612,1
63,2267,1,1,2,374,103,612,1
92,1155,4,3,0,19,82,612,1
59,1500,7,3,2,313,22,0,0
43,1633,5,3,2,20,58,377,1
31,1500,4,0,1,102,90,129,1
105,1790,6,3,2,31,90,459,1
47,1383,4,1,2,19,31,612,1
81,1710,1,1,2,187,120,612,1
73,1500,3,1,2,102,127,556,0
48,1729,1,3,2,108,93,612,1
47,1552,9,0,1,102,109,9,1
50,1438,2,1,0,311,70,612,1
65,1955,10,1,2,19,52,569,1
47,1662,3,1,2,225,109,99,1
25,1795,6,1,2,187,52,569,1
90,1801,3,1,0,19,109,504,1
29,1975,10,0,1,136,102,181,1
104,1408,2,1,0,40,48,612,1
24,1542,5,3,0,102,106,612,1
75,1940,9,3,2,19,108,314,1
52,1509,5,3,0,19,94,309,1
85,1558,3,3,2,102,61,591,1
64,1537,2,3,0,315,48,612,1
41,1600,7,3,2,21,102,76,0
40,1499,2,3,0,304,50,612,1
33,1791,4,1,2,311,90,322,0
61,1627,3,3,2,104,109,99,1
36,1640,1,3,2,102,73,612,1
75,1253,6,1,2,19,90,125,1
62,1892,7,3,0,19,17,18,1
84,1810,9,3,0,19,90,490,1
21,1987,7,1,2,102,101,257,0
55,1368,8,3,0,19,110,438,1
42,1308,2,3,0,361,32,0,1
65,1500,8,3,2,19,102,357,0
57,1352,3,3,2,374,94,0,1
35,1670,3,3,2,236,10,612,1
50,1173,3,2,0,108,109,530,1
35,1580,3,3,0,236,38,282,1
30,1512,3,3,2,324,38,377,1
63,2040,10,3,2,374,109,420,1
