turns,white_rating,black_rating,opening_moves,victory_status_cod,winner_cod,time_increment_cod,opening_code_cod,opening_fullname_cod,opening_shortname_cod,opening_variation_cod,rated_cod
60,1546,1571,2,3,2,19,41,443,50,612,1
57,1550,1567,6,3,2,19,91,1360,109,506,1
38,1560,1419,5,3,2,314,83,117,17,18,1
111,1840,1564,8,3,2,361,196,1158,106,232,1
119,1660,1549,4,3,0,19,45,209,30,612,1
33,1534,1678,5,1,2,19,192,783,83,612,1
32,1789,1538,6,3,2,19,311,98,12,0,1
96,1841,1921,8,3,0,102,173,166,20,75,1
92,1926,1737,2,0,1,363,4,1466,127,436,1
64,1629,1887,3,3,0,368,239,962,94,0,1
10,1860,1712,7,3,0,311,188,556,55,612,1
85,1500,1568,4,3,2,207,9,1007,97,446,1
40,1780,2132,10,3,0,19,144,1296,109,362,1
58,966,1124,2,3,0,19,72,1125,104,612,1
26,884,951,2,2,0,108,1,739,73,348,1
4,945,1070,3,2,0,108,191,635,59,612,1
118,971,1149,3,1,0,19,71,656,61,370,1
11,1238,985,1,1,2,108,0,1433,121,612,1
163,972,1247,2,2,1,19,19,247,33,274,1
95,1107,961,4,1,2,19,71,757,74,338,1
37,974,1129,3,3,0,19,239,967,94,132,1
101,1203,970,3,1,2,28,172,164,20,0,1
80,998,937,5,2,0,19,152,361,38,411,1
78,1016,1126,1,3,0,19,0,1433,121,612,1
89,1025,1153,4,2,1,19,153,358,38,332,1
42,1047,1151,4,1,0,19,241,967,94,132,1
8,998,1016,6,2,0,19,195,845,87,456,1
101,1127,1044,3,2,2,19,171,661,61,591,1
65,1020,1200,3,2,2,19,241,992,94,610,1
60,1069,1071,4,1,0,19,241,980,94,543,1
71,1071,1068,3,0,1,19,239,977,94,326,1
44,1115,1223,4,3,0,19,240,967,94,132,1
20,1190,1213,4,3,0,19,240,967,94,132,1
41,1337,1337,3,3,2,19,191,635,59,612,1
40,1500,1500,2,3,0,19,72,1125,104,612,1
27,1500,1571,7,3,2,219,192,790,83,182,1
59,1367,1866,1,3,0,104,0,1433,121,612,1
19,1590,1373,2,1,2,19,71,774,79,612,1
50,1377,1667,1,1,0,19,0,434,49,612,1
34,1558,1358,15,3,0,19,233,1065,102,142,1
15,1476,1367,2,1,2,315,71,774,79,612,1
52,1376,1469,1,3,0,315,0,1433,121,612,1
65,1460,1386,2,1,2,315,71,774,79,612,1
67,1372,1408,5,3,2,19,192,785,83,1,1
31,1373,2148,4,3,0,311,108,1251,109,206,1
130,1500,1395,2,1,0,361,152,311,38,0,0
125,1382,1414,5,1,2,361,153,343,38,181,1
76,1320,1400,3,3,0,117,152,352,38,282,1
121,1383,1330,3,3,2,117,42,1421,117,0,1
53,1383,1242,3,3,2,236,241,992,94,610,0
116,1469,1357,9,2,0,128,154,323,38,18,1
47,959,1357,4,3,2,211,0,181,24,136,0
53,1357,959,3,3,2,211,239,977,94,326,0
76,959,1357,4,1,0,211,0,181,24,136,0
110,1588,1691,8,0,1,104,201,495,52,211,1
67,1541,1586,9,1,2,113,103,1201,109,9,1
17,1517,1320,4,3,2,253,191,210,31,612,1
39,1569,1569,2,1,2,215,1,735,73,137,1
94,1563,1498,5,3,0,236,155,374,38,548,1
37,1903,1512,8,3,2,21,319,727,72,441,1
37,1612,1450,5,1,2,187,84,134,17,181,1
34,1327,1450,3,3,2,108,71,137,17,233,0
41,1245,1450,5,2,2,19,83,117,17,18,0
30,1921,1451,4,3,0,120,191,665,63,612,0
51,1462,1464,3,3,2,19,0,406,41,612,1
79,1450,1486,6,1,2,19,184,546,55,612,1
83,1439,1418,5,3,2,19,184,544,55,612,1
14,1728,1500,6,3,0,377,206,514,52,569,1
21,1547,1563,4,3,2,19,73,21,0,472,1
47,1863,1567,2,3,2,19,73,0,0,612,1
38,1559,1423,2,3,2,19,36,433,48,612,1
34,1570,1611,7,3,0,19,77,688,70,210,1
39,1562,1582,6,3,2,19,74,0,0,612,1
43,1576,1386,3,3,2,316,239,977,94,326,1
41,1353,1595,3,1,2,315,81,113,17,13,1
49,1591,1326,3,3,2,136,239,977,94,326,1
38,1560,1580,4,2,0,21,73,21,0,472,1
70,1727,1574,4,2,0,311,72,1143,104,349,1
48,1579,1841,4,3,0,19,307,448,50,172,1
50,1877,1558,11,3,0,19,163,372,38,537,1
57,1536,1962,3,3,2,19,41,1423,118,612,1
148,1529,1763,3,2,1,19,239,977,94,326,1
62,1590,1515,4,1,0,40,72,1143,104,349,1
29,1653,1522,2,3,2,19,61,191,29,612,1
52,1675,1505,6,1,0,19,72,1145,104,403,1
26,1547,1491,6,1,0,19,72,1145,104,403,1
59,1507,1399,2,3,0,19,36,283,34,612,1
2,1641,1502,2,0,1,19,72,1125,104,612,1
195,1496,1703,5,0,1,19,44,674,66,612,1
56,1482,1484,4,3,0,19,72,1143,104,349,1
40,1486,1909,2,3,0,19,36,682,70,612,1
31,1919,1488,2,1,2,19,11,243,33,122,1
60,1488,2192,2,3,0,19,41,443,50,612,1
45,1470,1684,3,3,2,19,239,977,94,326,1
63,1465,1659,3,0,1,315,62,195,29,188,1
17,1586,1473,5,3,2,19,241,976,94,309,1
34,1548,1488,6,3,2,19,74,0,0,612,1
36,1500,1501,2,1,0,19,41,443,50,612,1
62,1509,1487,8,1,0,19,76,16,0,348,1
46,1356,1491,2,0,1,356,72,1125,104,612,1
34,1495,1771,2,3,0,19,41,443,50,612,1
38,1529,1639,3,3,2,311,152,352,38,282,1
107,1631,1537,6,3,2,311,192,792,83,227,1
42,1546,1621,6,3,0,311,121,1195,109,0,1
35,1568,1636,5,3,2,311,152,361,38,411,1
122,1354,1631,5,1,0,311,152,369,38,477,1
71,1626,1384,7,1,2,311,120,1214,109,128,1
42,1639,1813,6,3,0,311,77,690,70,355,1
2,1646,1795,2,2,0,311,239,961,94,612,1
11,1646,939,4,3,2,311,248,1377,110,612,1
54,1657,1678,8,3,0,311,79,819,84,137,1
58,1667,1668,5,3,2,311,77,695,70,563,1
42,1683,1599,4,3,0,311,181,574,55,612,1
116,1596,1686,2,0,1,311,36,682,70,612,1
74,1769,1659,2,1,0,311,10,245,33,216,1
54,1668,1761,2,1,0,311,36,433,48,612,1
85,1752,1677,2,3,2,311,15,225,33,41,1
38,1688,1743,10,3,0,311,111,1268,109,256,1
41,1582,1704,3,3,2,311,152,352,38,282,1
121,1693,1666,7,1,2,311,120,1214,109,128,1
30,1676,1680,3,3,0,311,152,352,38,282,1
64,1142,1679,3,3,0,31,239,962,94,0,1
15,1678,1148,10,1,2,31,172,185,26,612,1
40,1154,1676,1,3,0,31,0,677,68,612,1
128,1686,1098,2,0,1,31,71,159,18,612,1
48,1102,1685,1,3,0,31,0,827,86,612,1
51,1684,1107,4,1,2,31,153,358,38,332,1
71,1493,1678,2,3,0,311,152,311,38,0,1
60,1525,1693,3,3,2,311,241,992,94,610,1
58,1709,1681,2,1,0,311,36,433,48,612,1
60,1692,1699,2,3,0,311,3,62,9,171,1
40,1688,1704,2,3,2,311,10,245,33,216,1
29,1699,1497,2,2,2,311,11,243,33,122,1
98,1703,1943,2,3,0,311,15,225,33,41,1
71,1694,1692,6,3,0,311,162,357,38,324,1
135,1696,1564,2,0,1,311,10,245,33,216,1
34,1572,1688,5,1,0,311,153,343,38,181,1
60,1392,1684,6,1,0,311,159,383,38,548,1
47,1707,1696,3,3,0,311,31,279,33,543,1
23,1684,1720,7,3,2,311,247,928,90,30,1
78,1733,1672,2,1,0,311,28,269,33,543,1
35,1721,1736,6,1,2,311,343,593,58,612,1
53,1724,1733,4,3,2,311,8,585,57,612,1
120,1746,1712,2,1,0,311,11,243,33,122,1
41,1741,1496,2,1,2,311,13,217,33,22,1
42,1295,1240,7,3,0,108,249,1381,110,96,1
63,1430,1302,5,3,2,110,242,982,94,564,1
23,1302,1248,4,3,0,110,245,943,90,322,0
32,1314,1270,5,3,0,19,258,868,90,386,1
73,1445,1314,5,3,2,110,265,907,90,435,0
90,1321,1451,7,3,0,108,280,896,90,348,1
41,1300,1333,6,1,2,108,119,1211,109,115,1
43,1318,1449,4,3,2,110,245,943,90,322,1
38,1450,1303,17,3,0,110,60,51,8,137,1
41,1290,1367,5,1,2,110,258,868,90,386,1
84,1300,1330,9,3,0,110,268,888,90,181,1
56,1209,1291,5,3,0,110,1,742,73,351,1
30,1299,1418,6,3,0,110,265,1178,108,12,1
6,1814,1299,5,3,2,282,201,462,52,612,0
67,1348,1308,3,3,2,110,171,661,61,591,1
56,1318,1366,5,3,0,110,258,868,90,386,1
103,1324,1329,6,3,2,110,195,844,87,249,1
40,1345,1187,5,1,0,110,258,868,90,386,1
52,1352,1149,5,3,0,110,265,907,90,435,1
57,1350,1429,10,0,1,110,268,887,90,181,1
23,1403,1340,3,3,2,110,36,291,34,612,1
39,1322,1072,5,1,2,110,258,868,90,386,1
52,1331,1382,4,3,0,110,247,926,90,30,1
41,1373,1341,6,3,2,110,259,869,90,459,1
